Type,SubType,RequiredParameter
Address,BuildingNumber,
Address,CardinalDirection,
Address,City,
Address,CityPrefix,
Address,CitySuffix,
Address,Country,
Address,CountryCode,
Address,County,
Address,Direction,
Address,FullAddress,
Address,Latitude,
Address,Longitude,
Address,OrdinalDirection,
Address,SecondaryAddress,
Address,State,
Address,StateAbbr,
Address,StreetAddress,
Address,StreetName,
Address,StreetSuffix,
Address,ZipCode,
Commerce,Categories,
Commerce,Color,
Commerce,Department,
Commerce,Price,
Commerce,Product,
Commerce,ProductAdjective,
Commerce,ProductMaterial,
Commerce,ProductName,
Company,Bs,
Company,CatchPhrase,
Company,CompanyName,
Company,CompanySuffix,
Database,Collation,
Database,Column,
Database,Engine,
Database,Type,
Date,Between,
Date,BetweenOffset,
Date,Future,
Date,FutureOffset,
Date,Month,
Date,Past,
Date,PastOffset,
Date,Random,
Date,Recent,
Date,RecentOffset,
Date,Soon,
Date,SoonOffset,
Date,Timespan,
Date,Weekday,
Finance,Account,
Finance,AccountName,
Finance,Amount,
Finance,Bic,
Finance,BitcoinAddress,
Finance,CreditCardCvv,
Finance,CreditCardNumber,
Finance,Currency,
Finance,EthereumAddress,
Finance,Iban,
Finance,RoutingNumber,
Finance,TransactionType,
Hacker,Abbreviation,
Hacker,Adjective,
Hacker,IngVerb,
Hacker,Noun,
Hacker,Phrase,
Hacker,Verb,
Hashids,Encode,
Hashids,EncodeHex,
Hashids,EncodeLong,
Hashids,Encrypt,
Hashids,EncryptHex,
Image,LoremFlickrUrl,
Image,PicsumUrl,
Image,PlaceImgUrl,
Internet,Avatar,
Internet,Color,
Internet,DomainName,
Internet,DomainSuffix,
Internet,DomainWord,
Internet,Email,
Internet,ExampleEmail,
Internet,Ip,
Internet,Ipv6,
Internet,Mac,
Internet,Password,
Internet,Protocol,
Internet,Url,
Internet,UrlWithPath,
Internet,UserAgent,
Internet,UserName,
Lorem,Letter,
Lorem,Lines,
Lorem,Paragraph,
Lorem,Paragraphs,
Lorem,Sentence,
Lorem,Sentences,
Lorem,Slug,
Lorem,Text,
Lorem,Word,
Lorem,Words,
Music,Genre,
Name,FindName,
Name,FirstName,
Name,FullName,
Name,JobArea,
Name,JobDescriptor,
Name,JobTitle,
Name,JobType,
Name,LastName,
Name,Prefix,
Name,Suffix,
Person,Avatar,
Person,DateOfBirth,
Person,Email,
Person,FirstName,
Person,FullName,
Person,Gender,
Person,LastName,
Person,Phone,
Person,UserName,
Person,Website,
Phone,PhoneNumber,
Phone,PhoneNumberFormat,
Random,AlphaNumeric,
Random,Bool,
Random,Byte,
Random,Bytes,
Random,Char,
Random,Chars,
Random,ClampString,Value
Random,Decimal,
Random,Digits,
Random,Double,
Random,Even,
Random,Float,
Random,Guid,
Random,Hash,
Random,Hexadecimal,
Random,Int,
Random,Long,
Random,Number,
Random,Odd,
Random,RandomLocale,
Random,Replace,Format
Random,ReplaceNumbers,Format
Random,SByte,
Random,Short,
Random,Shuffle,Value
Random,String,
Random,String2,
Random,UInt,
Random,ULong,
Random,UShort,
Random,Uuid,
Random,Word,
Random,Words,
Random,WordsArray,
Rant,Review,
Rant,Reviews,
Static,None,StaticValue
System,AndroidId,
System,ApplePushToken,
System,BlackBerryPin,
System,CommonFileExt,
System,CommonFileName,
System,CommonFileType,
System,DirectoryPath,
System,Exception,
System,FileExt,
System,FileName,
System,FilePath,
System,FileType,
System,MimeType,
System,Semver,
System,Version,
Vehicle,Fuel,
Vehicle,Manufacturer,
Vehicle,Model,
Vehicle,Type,
Vehicle,Vin,
